date,primary_type,arrest,domestic,district,year,latitude,longitude
2025-03-29 00:30:00 UTC,MOTOR VEHICLE THEFT,false,false,7,2025,41.777534928,-87.640807833
2022-11-05 23:42:00 UTC,MOTOR VEHICLE THEFT,false,false,20,2022,41.969979498,-87.657643008
2025-07-30 17:00:00 UTC,THEFT,false,false,1,2025,41.873907817,-87.632604904
2020-10-02 23:00:00 UTC,OTHER OFFENSE,false,false,12,2020,41.883950215,-87.682232951
2023-03-23 19:18:00 UTC,BATTERY,false,false,14,2023,41.903237649,-87.674216326
2023-07-23 20:00:00 UTC,THEFT,false,false,1,2023,41.886370204,-87.620691199
2025-06-27 03:00:00 UTC,BURGLARY,false,false,22,2025,41.684023827,-87.680913765
2020-09-19 13:50:00 UTC,BATTERY,true,false,14,2020,41.92938643,-87.707892425
2025-02-19 07:30:00 UTC,THEFT,false,false,8,2025,41.799808989,-87.723350952
2021-03-08 19:16:00 UTC,MOTOR VEHICLE THEFT,false,false,14,2021,41.913528601,-87.679992541
2024-07-02 21:05:00 UTC,BATTERY,true,true,20,2024,41.986392486,-87.656700734
2025-04-18 04:19:00 UTC,CRIMINAL DAMAGE,false,false,16,2025,41.980349758,-87.836582213
2020-02-05 22:30:00 UTC,THEFT,true,false,25,2020,41.909636288,-87.745300725
2023-01-12 07:27:00 UTC,OTHER OFFENSE,false,false,1,2023,41.885702079,-87.642031644
2023-01-04 02:38:00 UTC,BURGLARY,true,false,7,2023,41.775129883,-87.668978317
2024-08-05 15:30:00 UTC,MOTOR VEHICLE THEFT,false,false,1,2024,41.849069873,-87.623711271
2024-01-22 23:00:00 UTC,BATTERY,false,true,4,2024,41.754507854,-87.576050797
2023-01-04 07:27:00 UTC,CRIMINAL TRESPASS,true,false,25,2023,41.909770708,-87.735196552
2021-05-07 22:00:00 UTC,CRIMINAL DAMAGE,false,false,11,2021,41.870836468,-87.736462868
2023-05-03 11:00:00 UTC,ASSAULT,false,true,8,2023,41.743122311,-87.720179522
2025-05-06 05:34:00 UTC,CRIMINAL DAMAGE,false,false,19,2025,41.956188581,-87.680181998
2022-08-27 18:00:00 UTC,BATTERY,true,true,5,2022,41.677198392,-87.631045738
2020-11-24 07:30:00 UTC,CRIMINAL DAMAGE,false,true,15,2020,41.883077149,-87.749532396
2021-01-17 08:00:00 UTC,OTHER OFFENSE,false,true,8,2021,41.775775378,-87.739764737
2021-01-26 19:04:00 UTC,MOTOR VEHICLE THEFT,false,false,15,2021,41.89843839,-87.769646244
